"state_abbrev","state_name","scenario_key","sustainability_index","sustainability_tier","sustainability_rank","sustainability_percentile","sustainability_band","demand_pressure_norm","demand_per_100k","supply_per_100k","margin_per_hour","revenue_per_hour","labor_cost_per_hour","wage_revenue_ratio","units_per_hour","scenario_notes","pt_comp_share_pct","non_pt_margin_share_pct"
"AK","Alaska","conservative","0.5522048475120160105214","Sustainable","1","1","Top Quartile","0.65714285714285714206","93.92176453133039500000","142.92442428680712300000","71.332943055172707500","131.716275159582086625","60.383332104409379125","0.45843485955893747872","3.75","Lower throughput: higher complexity/documentation, longer transitions","45.84348595589374787200","54.15651404410625212800"
"AK","Alaska","baseline","0.6884604653109170166807","Sustainable","1","1","Top Quartile","0.65714285714285714206","93.92176453133039500000","142.92442428680712300000","88.895113076450319050","149.278445180859698175","60.383332104409379125","0.40450134666965071652","4.25","Typical OP PT clinic throughput baseline","40.45013466696507165200","59.54986533303492834800"
"AK","Alaska","high","0.8190388712267352057700","Sustainable","1","1","Top Quartile","0.65714285714285714206","93.92176453133039500000","142.92442428680712300000","106.457283097727930600","166.840615202137309725","60.383332104409379125","0.36192225754652958846","4.75","High throughput: efficient ops, shorter transitions","36.19222575465295884600","63.80777424534704115400"
"AL","Alabama","conservative","0.1521082652814011111496","At Risk","51","0","Bottom Quartile","1.59663865546218487214","111.37489375421319500000","69.75585450921773800000","26.1097993575954663616750","85.826366204664147375","59.7165668470686810133250","0.6957834694371977777009","3.75","Lower throughput: higher complexity/documentation, longer transitions","69.5783469437197777700900","30.4216530562802222299100"
"AL","Alabama","high","0.3677739431555545385351","Sustainable","51","0","Bottom Quartile","1.59663865546218487214","111.37489375421319500000","69.75585450921773800000","48.9968303455059056616750","108.713397192574586675","59.7165668470686810133250","0.5493027390293666666060","4.75","High throughput: efficient ops, shorter transitions","54.9302739029366666606000","45.0697260970633333394000"
"AL","Alabama","baseline","0.2642493609951787398745","At Risk","51","0","Bottom Quartile","1.59663865546218487214","111.37489375421319500000","69.75585450921773800000","37.5533148515506860116750","97.269881698619367025","59.7165668470686810133250","0.6139265906798803920890","4.25","Typical OP PT clinic throughput baseline","61.3926590679880392089000","38.6073409320119607911000"
"AR","Arkansas","high","0.3914255883526061808371","Sustainable","48","0.06","Bottom Quartile","1.14237288135593219789","109.77713612625478200000","96.09571263277495800000","51.5717577115459003290250","110.680133304198958650","59.1083755926530583209750","0.5340468413621852560321","4.75","High throughput: efficient ops, shorter transitions","53.4046841362185256032100","46.5953158637814743967900"
"AR","Arkansas","conservative","0.1752174111593430566990","At Risk","48","0.06","Bottom Quartile","1.14237288135593219789","109.77713612625478200000","96.09571263277495800000","28.2706770159250669290250","87.379052608578125250","59.1083755926530583209750","0.6764593323921013243074","3.75","Lower throughput: higher complexity/documentation, longer transitions","67.6459332392101324307400","32.3540667607898675692600"
"AR","Arkansas","baseline","0.2875101024333250913644","Sustainable","48","0.06","Bottom Quartile","1.14237288135593219789","109.77713612625478200000","96.09571263277495800000","39.9212173637354836290250","99.029592956388541950","59.1083755926530583209750","0.5968758815224423449771","4.25","Typical OP PT clinic throughput baseline","59.6875881522442344977100","40.3124118477557655022900"
"AZ","Arizona","baseline","0.4315887673313791658723","Sustainable","23","0.56","Upper-Mid Quartile","1.21383647798742138151","103.59533515036688400000","85.34537973527634500000","55.008252614396223075","109.249767290684773075","54.241514676288550000","0.49649089441047693058","4.25","Typical OP PT clinic throughput baseline","49.64908944104769305800","50.35091055895230694200"
