state_abbrev,state_name,scenario_key,sustainability_index,sustainability_tier,sustainability_rank,sustainability_percentile,sustainability_band,demand_pressure_norm,demand_per_100k,supply_per_100k,margin_per_hour,revenue_per_hour,labor_cost_per_hour,wage_revenue_ratio,units_per_hour,scenario_notes,rpp_cost_of_living_index,revenue_per_hour_rpp_adjusted,labor_cost_per_hour_rpp_adjusted,margin_per_hour_rpp_adjusted,wage_revenue_ratio_rpp_adjusted,pt_comp_share_pct_rpp,non_pt_margin_share_pct_rpp
AK,Alaska,conservative,0.552204848,Sustainable,1,1,Top Quartile,0.657142857,93.92176453,142.9244243,71.33294306,131.7162752,60.3833321,0.45843486,3.75,"Lower throughput: higher complexity/documentation, longer transitions",101.715,129.4954286,60.3833321,69.11209646,0.466297017,46.62970174,53.37029826
AK,Alaska,baseline,0.688460465,Sustainable,1,1,Top Quartile,0.657142857,93.92176453,142.9244243,88.89511308,149.2784452,60.3833321,0.404501347,4.25,Typical OP PT clinic throughput baseline,101.715,146.7614857,60.3833321,86.3781536,0.411438545,41.14385448,58.85614552
AK,Alaska,high,0.819038871,Sustainable,1,1,Top Quartile,0.657142857,93.92176453,142.9244243,106.4572831,166.8406152,60.3833321,0.361922258,4.75,"High throughput: efficient ops, shorter transitions",101.715,164.0275428,60.3833321,103.6442107,0.368129224,36.81292243,63.18707757
AL,Alabama,conservative,0.152108265,At Risk,51,0,Bottom Quartile,1.596638655,111.3748938,69.75585451,26.10979936,85.8263662,59.71656685,0.695783469,3.75,"Lower throughput: higher complexity/documentation, longer transitions",89.97,95.39442726,59.71656685,35.67786041,0.625996387,62.59963875,37.40036125
AL,Alabama,high,0.367773943,Sustainable,51,0,Bottom Quartile,1.596638655,111.3748938,69.75585451,48.99683035,108.7133972,59.71656685,0.549302739,4.75,"High throughput: efficient ops, shorter transitions",89.97,120.8329412,59.71656685,61.11637435,0.494207674,49.42076743,50.57923257
AL,Alabama,baseline,0.264249361,At Risk,51,0,Bottom Quartile,1.596638655,111.3748938,69.75585451,37.55331485,97.2698817,59.71656685,0.613926591,4.25,Typical OP PT clinic throughput baseline,89.97,108.1136842,59.71656685,48.39711738,0.552349754,55.23497536,44.76502464
AR,Arkansas,high,0.391425588,Sustainable,48,0.06,Bottom Quartile,1.142372881,109.7771361,96.09571263,51.57175771,110.6801333,59.10837559,0.534046841,4.75,"High throughput: efficient ops, shorter transitions",86.508,127.9420785,59.10837559,68.83370295,0.461993242,46.19932415,53.80067585
AR,Arkansas,conservative,0.175217411,At Risk,48,0.06,Bottom Quartile,1.142372881,109.7771361,96.09571263,28.27067702,87.37905261,59.10837559,0.676459332,3.75,"Lower throughput: higher complexity/documentation, longer transitions",86.508,101.0069041,59.10837559,41.89852852,0.585191439,58.51914393,41.48085607
AR,Arkansas,baseline,0.287510102,Sustainable,48,0.06,Bottom Quartile,1.142372881,109.7771361,96.09571263,39.92121736,99.02959296,59.10837559,0.596875882,4.25,Typical OP PT clinic throughput baseline,86.508,114.4744913,59.10837559,55.36611573,0.516345388,51.63453876,48.36546124
AZ,Arizona,baseline,0.431588767,Sustainable,23,0.56,Upper-Mid Quartile,1.213836478,103.5953352,85.34537974,55.00825261,109.2497673,54.24151468,0.496490894,4.25,Typical OP PT clinic throughput baseline,101.105,108.0557512,54.24151468,53.81423656,0.501977119,50.19771188,49.80228812
AZ,Arizona,conservative,0.318506074,Sustainable,23,0.56,Upper-Mid Quartile,1.213836478,103.5953352,85.34537974,42.15533882,96.39685349,54.24151468,0.56268968,3.75,"Lower throughput: higher complexity/documentation, longer transitions",101.105,95.34330992,54.24151468,41.10179524,0.568907401,56.89074013,43.10925987
