state,year,population
Alabama,2020,5032962
Alaska,2020,732906
Arizona,2020,7186647
Arkansas,2020,3014399
California,2020,39527808
Colorado,2020,5786873
Connecticut,2020,3579643
Delaware,2020,991890
District of Columbia,2020,670958
Florida,2020,21591325
Georgia,2020,10732595
Hawaii,2020,1451130
Idaho,2020,1849328
Illinois,2020,12795348
Indiana,2020,6790290
Iowa,2020,3191081
Kansas,2020,2938274
Kentucky,2020,4508271
Louisiana,2020,4652145
Maine,2020,1364546
Maryland,2020,6178387
Massachusetts,2020,6985320
Michigan,2020,10072294
Minnesota,2020,5710562
Mississippi,2020,2958385
Missouri,2020,6155074
Montana,2020,1087156
Nebraska,2020,1963318
Nevada,2020,3116851
New Hampshire,2020,1378752
New Jersey,2020,9270476
New Mexico,2020,2118446
New York,2020,20122262
North Carolina,2020,10450215
North Dakota,2020,779612
Ohio,2020,11798534
Oklahoma,2020,3965243
Oregon,2020,4243544
Pennsylvania,2020,12995576
Rhode Island,2020,1096487
South Carolina,2020,5131992
South Dakota,2020,887808
Tennessee,2020,6927736
Texas,2020,29237895
Utah,2020,3283970
Vermont,2020,642965
Virginia,2020,8637303
Washington,2020,7726812
West Virginia,2020,1791670
Wisconsin,2020,5897371
Wyoming,2020,577669
Puerto Rico,2020,3281591
Alabama,2021,5050058
Alaska,2021,734590
Arizona,2021,7274022
Arkansas,2021,3027127
California,2021,39152927
Colorado,2021,5814368
Connecticut,2021,3607765
Delaware,2021,1005130
District of Columbia,2021,669637
Florida,2021,21836698
Georgia,2021,10793038
Hawaii,2021,1446909
Idaho,2021,1904855
Illinois,2021,12703354
Indiana,2021,6814223
Iowa,2021,3199037
Kansas,2021,2938966
Kentucky,2021,4508348
Louisiana,2021,4628595
Maine,2021,1379009
Maryland,2021,6176035
Massachusetts,2021,6996721
Michigan,2021,10042362
Minnesota,2021,5714055
Mississippi,2021,2947603
Missouri,2021,6172551
Montana,2021,1106416
Nebraska,2021,1964697
Nevada,2021,3148472
New Hampshire,2021,1387907
New Jersey,2021,9266509
New Mexico,2021,2117300
New York,2021,19835345
North Carolina,2021,10565503
North Dakota,2021,777977
Ohio,2021,11761443
Oklahoma,2021,3992760
Oregon,2021,4254691
Pennsylvania,2021,13016628
Rhode Island,2021,1097381
South Carolina,2021,5194346
South Dakota,2021,896303
Tennessee,2021,6966687
Texas,2021,29572672
Utah,2021,3339874
Vermont,2021,647238
Virginia,2021,8660007
Washington,2021,7744316
West Virginia,2021,1785921
Wisconsin,2021,5882128
Wyoming,2021,579662
Puerto Rico,2021,3262731
Alabama,2022,5076868
Alaska,2022,733659
Arizona,2022,7370065
Arkansas,2022,3047429
California,2022,39125347
Colorado,2022,5853355
Connecticut,2022,3618707
Delaware,2022,1020279
District of Columbia,2022,674501
Florida,2022,22413989
Georgia,2022,10929992
Hawaii,2022,1437812
Idaho,2022,1942951
Illinois,2022,12609577
Indiana,2022,6841491
Iowa,2022,3201890
