state,year,population
Alabama,2023,5117850
Alaska,2023,734654
Arizona,2023,7452073
Arkansas,2023,3069856
California,2023,39181667
Colorado,2023,5912240
Connecticut,2023,3641369
Delaware,2023,1035354
District of Columbia,2023,682559
Florida,2023,22929248
Georgia,2023,11063669
Hawaii,2023,1434950
Idaho,2023,1970497
Illinois,2023,12633389
Indiana,2023,6881373
Iowa,2023,3214739
Kansas,2023,2949749
Kentucky,2023,4549953
Louisiana,2023,4598777
Maine,2023,1401992
Maryland,2023,6204927
Massachusetts,2023,7073479
Michigan,2023,10062124
Minnesota,2023,5752998
Mississippi,2023,2942470
Missouri,2023,6205956
Montana,2023,1130612
Nebraska,2023,1988172
Nevada,2023,3211077
New Hampshire,2023,1401530
New Jersey,2023,9395315
New Mexico,2023,2119349
New York,2023,19786543
North Carolina,2023,10871849
North Dakota,2023,787071
Ohio,2023,11808390
Oklahoma,2023,4062716
Oregon,2023,4250392
Pennsylvania,2023,13009406
Rhode Island,2023,1101183
South Carolina,2023,5390798
South Dakota,2023,917739
Tennessee,2023,7153029
Texas,2023,30719247
Utah,2023,3449259
Vermont,2023,647722
Virginia,2023,8732034
Washington,2023,7838655
West Virginia,2023,1770036
Wisconsin,2023,5930350
Wyoming,2023,584666
Puerto Rico,2023,3203794
